GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_900138845.1	4209938	GCF_900138845.1	4238228	
GCA_900138675.1	4207938	GCF_900138675.1	4239968	
GCA_017174995.1	25339848	GCF_017174995.1	25447308	
GCA_002800875.1	5688158	GCF_002800875.1	5696248	
GCA_900136675.1	3867538	GCF_900136675.1	3892178	
GCA_900130935.1	4209898	GCF_900130935.1	4234348	
GCA_900137345.1	4212598	GCF_900137345.1	4229168	
GCA_900137405.1	3876618	GCF_900137405.1	3896558	
GCA_900136265.1	3876278	GCF_900136265.1	3898198	
GCA_900137255.1	3876358	GCF_900137255.1	3897938	
GCA_900138025.1	3874938	GCF_900138025.1	3896958	
GCA_900136945.1	3872718	GCF_900136945.1	3895298	
GCA_002072635.1	4315728	GCF_002072635.1	4320248	
GCA_900141155.1	4214158	GCF_900141155.1	4231208	
GCA_900137755.1	3877478	GCF_900137755.1	3898778	
GCA_900141175.1	3872738	GCF_900141175.1	3895318	
GCA_900135735.1	4214018	GCF_900135735.1	4242008	
GCA_900134975.1	3869538	GCF_900134975.1	3894158	
GCA_900137945.1	4213818	GCF_900137945.1	4241968	
GCA_900141045.1	4207198	GCF_900141045.1	4238968	
GCA_900139955.1	3872518	GCF_900139955.1	3895998	
GCA_900139695.1	3865838	GCF_900139695.1	3889378	
GCA_002800305.1	5687578	GCF_002800305.1	5692728	
GCA_900138925.1	3866038	GCF_900138925.1	3889538	
GCA_900138155.1	4206318	GCF_900138155.1	4235128	
GCA_900134445.1	4211298	GCF_900134445.1	4240108	
GCA_900136325.1	4206718	GCF_900136325.1	4239568	
GCA_900134005.1	4206078	GCF_900134005.1	4231428	
GCA_900134745.1	3869478	GCF_900134745.1	3894318	
GCA_900136055.1	4207078	GCF_900136055.1	4236128	
GCA_900136075.1	4215438	GCF_900136075.1	4231788	
GCA_002800605.1	5687878	GCF_002800605.1	5692848	
GCA_900141005.1	3873298	GCF_900141005.1	3895118	
GCA_900133315.1	4210178	GCF_900133315.1	4229588	
GCA_900133935.1	4213098	GCF_900133935.1	4231028	
GCA_900139845.1	4217478	GCF_900139845.1	4232568	
GCA_900135315.1	3868478	GCF_900135315.1	3892538	
GCA_900133455.1	3874198	GCF_900133455.1	3896238	
GCA_900134485.1	4206158	GCF_900134485.1	4235788	
GCA_900134375.1	3877998	GCF_900134375.1	3898898	
GCA_900133175.1	3877738	GCF_900133175.1	3898178	
GCA_900134665.1	3877778	GCF_900134665.1	3898798	
GCA_002802405.1	5689688	GCF_002802405.1	5693628	
GCA_900137285.1	4215378	GCF_900137285.1	4230348	
GCA_900136385.1	3878098	GCF_900136385.1	3899298	
GCA_900137785.1	3877638	GCF_900137785.1	3899278	
GCA_900133775.1	3875518	GCF_900133775.1	3896858	
GCA_900137555.1	4216238	GCF_900137555.1	4241368	
GCA_900133115.1	3875338	GCF_900133115.1	3897258	
GCA_900137305.1	4209918	GCF_900137305.1	4236688	
GCA_017175945.1	25340888	GCF_017175945.1	25446148	
GCA_017175725.1	25340678	GCF_017175725.1	25443068	
GCA_002802065.1	5689338	GCF_002802065.1	5695848	
GCA_002802515.1	5689768	GCF_002802515.1	5693808	
GCA_900140465.1	4208118	GCF_900140465.1	4228388	
GCA_002801975.1	5689248	GCF_002801975.1	5693848	
GCA_900141405.1	4210938	GCF_900141405.1	4233508	
GCA_900137995.1	4208058	GCF_900137995.1	4233988	
GCA_900134095.1	3867138	GCF_900134095.1	3890858	
GCA_900135165.1	3869738	GCF_900135165.1	3891558	
GCA_900131855.1	4214518	GCF_900131855.1	4241108	
GCA_900133065.1	4204818	GCF_900133065.1	4236008	
